storm_name,storm_type,dev_scenario,ccsp_characterization,ccsp_alternative,ccsp_recommended_plan
02yr6h,D,EX,,,
05yr6h,D,EX,,,
10yr6h,D,EX,,,
25yr6h,D,EX,,,
50yr6h,D,EX,,,
100yr6h,D,EX,,,
02yr,D,EX,,,
100yr24hrSCS1A,D,EX,,,
05yr,D,EX,,,
10yr,D,EX,,,
WQ,D,EX,,,
25yr,D,EX,,,
50yr,D,EX,,,
npdx10s,D,EX,,,
100yr,D,EX,,,
Dry,D,EX,,,
Avg,D,EX,,,
AvgSum,D,EX,,,
AvgWin,D,EX,,,
SE3s,D,EX,,,
SE10s,D,EX,,,
npdx3s,D,EX,,,
npdx5w,D,EX,,,
4S6,H,EX,,,
02yr6h,D,50,,,
05yr6h,D,50,,,
10yr6h,D,50,,,
25yr6h,D,50,,,
50yr6h,D,50,,,
100yr6h,D,50,,,
02yr,D,50,,,
100yr24hrSCS1A,D,50,,,
05yr,D,50,,,
10yr,D,50,,,
WQ,D,50,,,
25yr,D,50,,,
50yr,D,50,,,
npdx10s,D,50,,,
100yr,D,50,,,
Dry,D,50,,,
Avg,D,50,,,
AvgSum,D,50,,,
AvgWin,D,50,,,
SE3s,D,50,,,
SE10s,D,50,,,
npdx3s,D,50,,,
npdx5w,D,50,,,
4S6,H,50,,,
02yr6h,D,BO,,,
05yr6h,D,BO,,,
10yr6h,D,BO,,,
25yr6h,D,BO,,,
50yr6h,D,BO,,,
100yr6h,D,BO,,,
02yr,D,BO,,,
100yr24hrSCS1A,D,BO,,,
05yr,D,BO,,,
10yr,D,BO,,,
WQ,D,BO,,,
25yr,D,BO,,,
50yr,D,BO,,,
npdx10s,D,BO,,,
100yr,D,BO,,,
Dry,D,BO,,,
Avg,D,BO,,,
AvgSum,D,BO,,,
AvgWin,D,BO,,,
SE3s,D,BO,,,
SE10s,D,BO,,,
npdx3s,D,BO,,,
npdx5w,D,BO,,,
4S6,H,BO,,,
